Location,Year,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2007,6.9,3.4,64.0,15.0,0.09,0.074,,,,18.0,7.6,143.0,38.0,
Atlanta,2007,2.1,1.7,75.0,17.0,0.13,0.102,65.0,18.0,3.0,39.0,16.8,88.0,29.0,
Austin,2007,0.9,0.5,25.0,3.0,0.09,0.076,,,,21.0,9.7,41.0,20.0,
Baltimore,2007,3.3,2.3,,14.0,0.13,0.092,129.0,16.0,4.0,45.0,15.0,56.0,26.0,
Boston,2007,2.5,1.6,55.0,21.0,0.12,0.089,58.0,16.0,6.0,32.0,11.9,38.0,22.0,
Charlotte,2007,2.7,2.0,54.0,14.0,0.13,0.096,82.0,13.0,3.0,31.0,14.0,59.0,31.0,
Chicago,2007,8.0,3.0,119.0,33.0,0.11,0.088,119.0,25.0,5.0,39.0,16.1,115.0,33.0,
Cleveland,2007,6.7,2.9,61.0,20.0,0.11,0.083,176.0,53.0,8.0,39.0,15.8,100.0,34.0,
Colorado Springs,2007,4.0,2.1,,,0.08,0.072,,,,16.0,7.3,64.0,24.0,
Columbus,2007,2.3,1.6,,,0.1,0.087,33.0,12.0,3.0,36.0,14.7,76.0,36.0,
Dallas,2007,2.2,1.5,58.0,16.0,0.12,0.089,96.0,20.0,2.0,26.0,12.4,43.0,20.0,
Denver,2007,5.9,2.8,83.0,27.0,0.11,0.09,33.0,11.0,3.0,40.0,10.7,111.0,34.0,
Detroit,2007,2.0,1.4,48.0,14.0,0.11,0.093,,,5.0,37.0,16.9,117.0,32.0,
El Paso,2007,5.7,3.2,71.0,18.0,0.1,0.078,10.0,4.0,1.0,47.0,18.1,179.0,46.0,
Fresno,2007,3.5,2.5,60.0,17.0,0.11,0.094,,,,67.0,18.8,89.0,38.0,
Houston,2007,3.5,2.5,62.0,17.0,0.13,0.09,62.0,17.0,3.0,33.0,15.6,190.0,57.0,
Indianapolis,2007,7.9,3.6,48.0,13.0,0.1,0.084,140.0,36.0,5.0,39.0,17.3,59.0,27.0,
Jacksonville,2007,2.6,1.9,43.0,10.0,0.11,0.081,82.0,28.0,4.0,60.0,10.4,60.0,25.0,
Kansas City,2007,2.9,2.1,60.0,18.0,0.11,0.089,160.0,61.0,4.0,27.0,12.3,76.0,35.0,
Las Vegas,2007,4.6,3.8,,,0.1,0.085,6.0,3.0,0.0,23.0,10.3,127.0,39.0,
Los Angeles,2007,7.0,4.9,88.0,31.0,0.14,0.105,19.0,9.0,3.0,47.0,16.0,131.0,39.0,
Louisville,2007,3.7,2.1,52.0,16.0,0.11,0.09,194.0,36.0,6.0,43.0,16.5,61.0,27.0,
Memphis,2007,2.9,2.0,51.0,11.0,0.11,0.084,76.0,26.0,6.0,35.0,13.6,57.0,26.0,
