Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,4.6,2.6,65.0,13.0,0.09,0.07,,,,11.0,6.0,135.0,33.0,
Atlanta,2.1,1.8,63.0,15.0,0.12,0.089,55.0,15.0,3.0,32.0,14.3,46.0,22.0,
Austin,0.6,0.4,26.0,3.0,0.09,0.074,,,,22.0,10.0,36.0,18.0,
Baltimore,2.6,2.0,52.0,19.0,0.12,0.089,56.0,13.0,3.0,34.0,12.8,44.0,19.0,
Boston,3.2,2.1,60.0,22.0,0.1,0.078,62.0,14.0,5.0,28.0,11.2,39.0,23.0,
Charlotte,2.1,1.6,50.0,11.0,0.12,0.093,73.0,13.0,2.0,25.0,13.3,44.0,24.0,
Chicago,7.1,3.0,132.0,31.0,0.09,0.072,97.0,22.0,6.0,34.0,13.8,117.0,29.0,
Cleveland,7.5,4.8,58.0,17.0,0.1,0.083,164.0,39.0,7.0,40.0,14.6,95.0,36.0,
Colorado Springs,3.5,2.3,,,0.09,0.072,,,,,,46.0,21.0,
Columbus,2.5,1.6,,,0.09,0.083,29.0,11.0,2.0,33.0,13.0,79.0,31.0,
Dallas,2.3,1.6,57.0,14.0,0.11,0.085,58.0,12.0,1.0,30.0,11.9,43.0,22.0,
Denver,7.0,3.1,71.0,17.0,0.1,0.08,28.0,6.0,2.0,25.0,9.5,107.0,31.0,
Detroit,1.9,1.1,49.0,13.0,0.1,0.076,101.0,45.0,5.0,34.0,13.3,72.0,26.0,
El Paso,8.0,4.8,67.0,17.0,0.12,0.078,13.0,5.0,1.0,42.0,15.9,223.0,36.0,
Fresno,2.8,2.1,66.0,16.0,0.14,0.108,6.0,3.0,1.0,57.0,17.9,87.0,40.0,
Houston,8.1,5.2,66.0,16.0,0.13,0.083,62.0,15.0,2.0,31.0,11.8,59.0,32.0,
Indianapolis,3.5,2.1,45.0,12.0,0.1,0.075,91.0,19.0,4.0,34.0,15.1,55.0,24.0,
Jacksonville,2.2,1.6,42.0,9.0,0.08,0.071,32.0,12.0,1.0,22.0,9.2,,,
Kansas City,2.2,1.4,62.0,17.0,0.1,0.07,177.0,62.0,6.0,28.0,13.0,103.0,41.0,
Las Vegas,4.7,3.7,58.0,17.0,0.1,0.08,,,,22.0,9.3,168.0,32.0,
Los Angeles,5.7,4.1,88.0,30.0,0.15,0.112,30.0,8.0,2.0,41.0,16.2,125.0,44.0,
Louisville,6.9,2.2,56.0,15.0,0.1,0.077,192.0,36.0,6.0,33.0,14.5,54.0,22.0,
Memphis,2.5,1.5,50.0,10.0,0.11,0.084,14.0,12.0,3.0,27.0,11.7,43.0,22.0,
Miami,3.9,2.5,42.0,9.0,0.1,0.074,25.0,4.0,1.0,22.0,8.5,63.0,26.0,
Milwaukee,,,44.0,12.0,0.09,0.069,,,,37.0,13.5,50.0,22.0,
Minneapolis,3.1,2.4,51.0,9.0,0.08,0.063,39.0,13.0,1.0,32.0,11.5,53.0,26.0,
Nashville,3.2,1.9,50.0,15.0,0.1,0.081,17.0,7.0,2.0,,,38.0,21.0,
New York City,3.4,2.1,77.0,26.0,0.13,0.087,62.0,26.0,7.0,34.0,13.5,74.0,29.0,
Oklahoma City,2.1,1.1,54.0,10.0,0.1,0.076,8.0,5.0,1.0,24.0,10.7,39.0,22.0,
Omaha,2.9,2.0,,,0.08,0.059,70.0,31.0,1.0,22.0,10.3,132.0,44.0,
Philadelphia,5.6,2.0,68.0,20.0,0.11,0.089,51.0,22.0,6.0,38.0,13.8,62.0,27.0,
Phoenix,4.5,3.0,73.0,26.0,0.1,0.081,8.0,4.0,2.0,41.0,19.6,539.0,162.0,
Portland,3.3,2.5,40.0,11.0,0.1,0.066,8.0,4.0,1.0,27.0,8.4,40.0,19.0,
Sacramento,3.1,2.6,59.0,15.0,0.16,0.114,,,,56.0,13.9,109.0,32.0,
San Antonio,4.7,2.6,54.0,14.0,0.09,0.078,37.0,7.0,1.0,24.0,9.3,55.0,19.0,
San Diego,5.9,3.5,78.0,24.0,0.13,0.098,20.0,7.0,3.0,30.0,13.7,146.0,56.0,
