Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,10740,3.2,2.2,49.0,14.0,0.09,0.077,6.0,2.0,1.0,25.0,7.4,152.0,31.0,0.01
Atlanta,12060,1.7,1.4,53.0,12.0,0.11,0.088,11.0,3.0,1.0,23.0,13.6,38.0,20.0,0.03
Austin,12420,0.7,0.4,,,0.1,0.076,,,,17.0,7.8,32.0,15.0,
Baltimore,12580,2.5,1.6,56.0,16.0,0.11,0.087,19.0,6.0,2.0,25.0,12.0,31.0,16.0,
Boston,14460,2.1,1.6,49.0,19.0,0.1,0.074,21.0,6.0,2.0,23.0,9.5,37.0,17.0,0.0
Charlotte,16740,3.0,1.5,,9.0,0.11,0.085,8.0,2.0,0.0,21.0,9.6,38.0,18.0,0.0
Chicago,16980,4.0,1.9,63.0,22.0,0.12,0.093,108.0,22.0,3.0,32.0,12.5,153.0,27.0,0.13
Cleveland,17460,7.5,4.6,48.0,14.0,0.11,0.089,163.0,55.0,5.0,29.0,12.3,189.0,51.0,0.03
Colorado Springs,17820,2.7,1.4,,,0.09,0.075,,,,,,,,
Columbus,18140,2.6,1.6,,,0.11,0.082,,,,22.0,10.9,62.0,29.0,0.01
Dallas,19100,1.7,1.4,53.0,12.0,0.12,0.092,15.0,3.0,1.0,25.0,11.9,66.0,27.0,0.31
Denver,19740,4.0,2.0,72.0,25.0,0.11,0.086,39.0,10.0,2.0,,,103.0,31.0,
Detroit,19820,2.7,2.3,43.0,19.0,0.1,0.083,80.0,29.0,4.0,34.0,12.3,134.0,31.0,0.01
El Paso,21340,7.4,3.9,59.0,16.0,0.1,0.074,5.0,2.0,1.0,21.0,9.9,55.0,28.0,0.03
Fresno,23420,3.2,2.1,56.0,13.0,0.12,0.097,8.0,2.0,1.0,57.0,15.4,76.0,33.0,
Houston,26420,2.3,1.9,60.0,15.0,0.13,0.087,29.0,10.0,1.0,31.0,12.7,128.0,39.0,0.01
Indianapolis,26900,3.5,2.4,,10.0,0.1,0.084,92.0,25.0,4.0,27.0,12.4,71.0,30.0,0.04
Jacksonville,27260,3.8,1.6,37.0,8.0,0.08,0.061,54.0,19.0,2.0,,,55.0,19.0,
Kansas City,28140,2.6,1.9,53.0,14.0,0.1,0.086,167.0,69.0,6.0,21.0,9.7,82.0,31.0,0.01
Las Vegas,29820,3.6,3.1,59.0,14.0,0.1,0.079,9.0,5.0,1.0,21.0,8.6,139.0,29.0,
Los Angeles,31080,4.8,3.9,63.0,21.0,0.13,0.102,3.0,2.0,0.0,32.0,12.7,74.0,31.0,0.15
Louisville,31140,2.9,1.7,,,0.12,0.092,147.0,28.0,4.0,24.0,12.3,46.0,21.0,0.01
Memphis,32820,2.0,1.5,,9.0,0.11,0.086,9.0,5.0,3.0,25.0,10.0,37.0,21.0,0.01
Miami,33060,,,,,0.1,0.083,,,,,,,,0.03
Miami,33100,2.9,2.0,46.0,8.0,0.08,0.064,27.0,3.0,0.0,20.0,8.3,73.0,25.0,
Milwaukee,33340,,,45.0,12.0,0.11,0.093,21.0,6.0,1.0,30.0,10.9,47.0,23.0,
Minneapolis,33460,3.4,1.5,57.0,11.0,0.09,0.074,16.0,4.0,1.0,34.0,10.4,67.0,25.0,0.11
Nashville,34980,1.9,1.5,,,0.1,0.083,,,,,,34.0,20.0,
New York City,35620,3.2,2.5,67.0,22.0,0.12,0.085,32.0,12.0,3.0,26.0,11.7,73.0,30.0,0.06
Oklahoma City,36420,1.2,0.6,60.0,9.0,0.1,0.081,5.0,2.0,0.0,19.0,9.8,73.0,25.0,
Omaha,36540,2.6,2.3,,,0.09,0.077,73.0,25.0,2.0,29.0,11.7,181.0,52.0,0.2
Philadelphia,37980,2.3,1.5,56.0,18.0,0.11,0.092,29.0,9.0,2.0,29.0,11.2,66.0,29.0,0.05
Phoenix,38060,4.5,2.5,65.0,26.0,0.1,0.083,9.0,4.0,2.0,29.0,15.6,504.0,101.0,
Portland,38900,3.1,2.1,36.0,9.0,0.09,0.065,5.0,2.0,1.0,23.0,7.3,29.0,15.0,0.05
Sacramento,40900,2.6,2.1,51.0,12.0,0.12,0.097,,,,35.0,9.2,58.0,24.0,
San Antonio,41700,,,34.0,4.0,0.1,0.087,,,,23.0,8.7,50.0,21.0,
San Diego,41740,4.0,2.1,72.0,20.0,0.1,0.08,1.0,1.0,0.0,24.0,11.1,48.0,24.0,0.01
San Francisco,41860,3.2,2.4,66.0,15.0,0.1,0.072,15.0,6.0,2.0,22.0,9.5,46.0,16.0,
San Jose,41940,2.4,1.9,52.0,13.0,0.09,0.072,13.0,3.0,1.0,32.0,9.0,56.0,19.0,
San Juan,41980,13.7,4.4,,20.0,0.09,0.045,,,2.0,18.0,7.7,97.0,27.0,0.0
Seattle,42660,,0.7,,,0.1,0.071,19.0,5.0,1.0,28.0,9.7,27.0,11.0,0.06
Tucson,46060,2.3,1.2,47.0,13.0,0.08,0.071,4.0,1.0,0.0,13.0,5.9,228.0,42.0,
Tulsa,46140,1.8,1.2,42.0,9.0,0.11,0.085,55.0,25.0,4.0,20.0,9.7,,,0.01
Virginia Beach,47260,1.5,1.0,41.0,8.0,0.1,0.074,56.0,9.0,1.0,23.0,8.3,32.0,13.0,
District of Columbia,47900,2.9,2.5,51.0,17.0,0.11,0.09,12.0,5.0,2.0,28.0,11.6,37.0,17.0,0.0
Wichita,48620,7.0,5.3,85.0,10.0,0.11,0.081,,,,19.0,9.3,94.0,26.0,
