Location,index,Correlation Coefficient,p-value,Significant?
Albuquerque,CO 2nd Max 1-hr,0.055738423657547664,0.40772526816805493,False
Albuquerque,CO 2nd Max 8-hr,0.1811076810510295,0.2223921790495934,False
Albuquerque,NO2 98th Percentile 1-hr,-0.26137788518743055,0.13282368676297465,False
Albuquerque,NO2 Mean 1-hr,0.19411340148234096,0.20609420177562332,False
Albuquerque,Ozone 2nd Max 1-hr,0.13849133856819365,0.28018567434274816,False
Albuquerque,Ozone 4th Max 8-hr,0.1394237332753865,0.27885407376125954,False
Albuquerque,SO2 99th Percentile 1-hr,0.6438227799796504,0.0010947466624984094,True
Albuquerque,SO2 2nd Max 24-hr,0.2037157906628947,0.19448983059823804,False
Albuquerque,SO2 Mean 1-hr,0.31118101032349776,0.09085968829764407,False
Albuquerque,PM2.5 98th Percentile 24-hr,0.3407496681072077,0.07075708442124969,False
Albuquerque,PM2.5 Weighted Mean 24-hr,0.4150574016409953,0.034396562736460586,False
Albuquerque,PM10 2nd Max 24-hr,0.2648841533876518,0.12952704136169066,False
Albuquerque,PM10 Mean 24-hr,0.031392099560347025,0.44773662116765345,False
Atlanta,CO 2nd Max 1-hr,-0.08266059494968261,0.364498394277593,False
Atlanta,CO 2nd Max 8-hr,-0.15650792878818454,0.25496823258008194,False
Atlanta,NO2 98th Percentile 1-hr,-0.11728401943031729,0.3112032573380329,False
Atlanta,NO2 Mean 1-hr,-0.009773047700953453,0.4836906386954931,False
Atlanta,Ozone 2nd Max 1-hr,0.037549001620143074,0.4375568449240108,False
Atlanta,Ozone 4th Max 8-hr,0.06001795222956194,0.4007710201859948,False
Atlanta,SO2 99th Percentile 1-hr,0.009838708231274893,0.4835811201081638,False
Atlanta,SO2 2nd Max 24-hr,-0.1321523436525803,0.2893124430587134,False
Atlanta,SO2 Mean 1-hr,0.08473962163604577,0.36121781538573905,False
Atlanta,PM2.5 98th Percentile 24-hr,0.002149798037828819,0.4964115256046966,False
Atlanta,PM2.5 Weighted Mean 24-hr,-0.03557066627921292,0.4408239968714105,False
Atlanta,PM10 2nd Max 24-hr,-0.04550680594098972,0.4244561014031595,False
Atlanta,PM10 Mean 24-hr,0.024985759180809173,0.4583622322735198,False
Austin,CO 2nd Max 1-hr,-0.21804995930324667,0.17786270401992338,False
Austin,CO 2nd Max 8-hr,-0.2763886309380723,0.11907714745216848,False
Austin,NO2 98th Percentile 1-hr,-0.7283234397939282,0.00013564832575824502,True
Austin,NO2 Mean 1-hr,-0.8137336215984038,6.377171719491362e-06,True
Austin,Ozone 2nd Max 1-hr,0.4586706401450869,0.020971094658282518,True
Austin,Ozone 4th Max 8-hr,0.47069896247411713,0.018102262675830278,True
Austin,SO2 99th Percentile 1-hr,0.8001322641986388,1.1402297776547119e-05,True
Austin,SO2 2nd Max 24-hr,0.9258200997725515,2.4619655191888644e-09,True
Austin,SO2 Mean 1-hr,0.39036002917941354,0.04441402655983577,False
Austin,PM2.5 98th Percentile 24-hr,-0.19395800579042863,0.20628502070046395,False
Austin,PM2.5 Weighted Mean 24-hr,0.0037898779944236915,0.4936740444336913,False
Austin,PM10 2nd Max 24-hr,-0.5227332740621475,0.009021182310313373,True
Austin,PM10 Mean 24-hr,-0.24473913829895477,0.14918047430175596,False
Baltimore,CO 2nd Max 1-hr,0.40111908327424517,0.039815871541473646,False
Baltimore,CO 2nd Max 8-hr,0.47464777716083356,0.017230313850737877,True
Baltimore,NO2 98th Percentile 1-hr,0.323668778597941,0.08194632916656786,False
Baltimore,NO2 Mean 1-hr,0.36515168811614584,0.0567000607558423,False
Baltimore,Ozone 2nd Max 1-hr,0.39156590386570617,0.04388008388971664,False
Baltimore,Ozone 4th Max 8-hr,0.22923462506765901,0.16547869350292538,False
Baltimore,SO2 99th Percentile 1-hr,0.6061032621422048,0.0023075259804579713,True
Baltimore,SO2 2nd Max 24-hr,0.5559417651250889,0.005459707704668589,True
Baltimore,SO2 Mean 1-hr,0.5042805608624186,0.011685606697778428,True
Baltimore,PM2.5 98th Percentile 24-hr,0.43522699722437297,0.027559589699758958,False
Baltimore,PM2.5 Weighted Mean 24-hr,0.46409298922493414,0.019637288142003335,True
Baltimore,PM10 2nd Max 24-hr,0.2898231846209577,0.10758256185562867,False
Baltimore,PM10 Mean 24-hr,0.4810039187911092,0.0158959699923884,True
Boston,CO 2nd Max 1-hr,0.6677152591592302,0.0006477117276630477,True
Boston,CO 2nd Max 8-hr,0.6533274096074329,0.0008931903083727465,True
Boston,NO2 98th Percentile 1-hr,0.6897592453753412,0.0003826157507054973,True
Boston,NO2 Mean 1-hr,0.7562343643327443,5.72152986025994e-05,True
Boston,Ozone 2nd Max 1-hr,0.4543703048548821,0.022077810908964775,True
Boston,Ozone 4th Max 8-hr,0.5921348646185608,0.0029734673916756924,True
Boston,SO2 99th Percentile 1-hr,0.6753852006631056,0.0005419466284893954,True
Boston,SO2 2nd Max 24-hr,0.5601005207358595,0.005108698556271773,True
Boston,SO2 Mean 1-hr,0.6787171787336478,0.0005007630456148115,True
Boston,PM2.5 98th Percentile 24-hr,0.6061836824280656,0.0023040835731599047,True
Boston,PM2.5 Weighted Mean 24-hr,0.5603524773122591,0.005088036333553259,True
Boston,PM10 2nd Max 24-hr,0.535464388041742,0.007484457899572689,True
Boston,PM10 Mean 24-hr,0.6411171986999763,0.0011586155854277,True
Charlotte,CO 2nd Max 1-hr,0.5637873885765379,0.004813055610132038,True
Charlotte,CO 2nd Max 8-hr,0.660233547120437,0.0007670999353504281,True
Charlotte,NO2 98th Percentile 1-hr,0.74576359610063,8.010480952030852e-05,True
Charlotte,NO2 Mean 1-hr,0.6841640745021416,0.0004391290139389439,True
Charlotte,Ozone 2nd Max 1-hr,0.6420271506588108,0.0011367966687605702,True
Charlotte,Ozone 4th Max 8-hr,0.5721886551908871,0.004191125641320887,True
Charlotte,SO2 99th Percentile 1-hr,0.6799279930874396,0.0004864667412483981,True
Charlotte,SO2 2nd Max 24-hr,0.7504193499800422,6.91096128406166e-05,True
Charlotte,SO2 Mean 1-hr,0.7998206820173841,1.1549148230789504e-05,True
Charlotte,PM2.5 98th Percentile 24-hr,0.7498988244889966,7.027077073423741e-05,True
Charlotte,PM2.5 Weighted Mean 24-hr,0.7463568750648881,7.862536128017177e-05,True
Charlotte,PM10 2nd Max 24-hr,0.39592203960254063,0.04199060640358141,False
Charlotte,PM10 Mean 24-hr,0.6893298823427307,0.00038672246739010355,True
Chicago,CO 2nd Max 1-hr,0.4823547708483798,0.015623103949345624,True
Chicago,CO 2nd Max 8-hr,0.8957689122204187,4.697701904574533e-08,True
Chicago,NO2 98th Percentile 1-hr,0.2674763807209464,0.1271233971422669,False
Chicago,NO2 Mean 1-hr,0.6576891949432816,0.0008116907932151392,True
Chicago,Ozone 2nd Max 1-hr,0.532703185199722,0.007798425800789523,True
Chicago,Ozone 4th Max 8-hr,0.5752500757035002,0.0039814985486729855,True
Chicago,SO2 99th Percentile 1-hr,0.6007065585235195,0.0025484407753576374,True
Chicago,SO2 2nd Max 24-hr,0.7830983751436682,2.226044523160922e-05,True
Chicago,SO2 Mean 1-hr,0.8418497423406894,1.630723671331737e-06,True
Chicago,PM2.5 98th Percentile 24-hr,0.3700787484630672,0.05412565051548359,False
Chicago,PM2.5 Weighted Mean 24-hr,0.8173188653938264,5.429122344348661e-06,True
Chicago,PM10 2nd Max 24-hr,0.5127255690507471,0.010398063477255646,True
Chicago,PM10 Mean 24-hr,0.7543532534294071,6.085388030997129e-05,True
Cleveland,CO 2nd Max 1-hr,0.29797734718367636,0.10097504125332564,False
Cleveland,CO 2nd Max 8-hr,-0.04919027414789806,0.4184169932615941,False
Cleveland,NO2 98th Percentile 1-hr,-0.14422855561092351,0.27203709228840756,False
Cleveland,NO2 Mean 1-hr,-0.1365186701720417,0.28301218084749996,False
Cleveland,Ozone 2nd Max 1-hr,-0.14176285729684643,0.2755258995875448,False
Cleveland,Ozone 4th Max 8-hr,-0.19094582827090326,0.2100026919153718,False
Cleveland,SO2 99th Percentile 1-hr,-0.14836316064739508,0.26623237656822385,False
Cleveland,SO2 2nd Max 24-hr,-0.11928472519160827,0.3082196190181612,False
Cleveland,SO2 Mean 1-hr,-0.06307614005712465,0.39581887762521595,False
Cleveland,PM2.5 98th Percentile 24-hr,-0.10059397166331208,0.33652117472422827,False
Cleveland,PM2.5 Weighted Mean 24-hr,-0.09094100279498468,0.35148845801386,False
Cleveland,PM10 2nd Max 24-hr,-0.056609570037530726,0.4063074264805122,False
Cleveland,PM10 Mean 24-hr,-0.09609855330724636,0.34346366158526553,False
Colorado Springs,CO 2nd Max 1-hr,0.4010569411174444,0.039841371017270505,False
Colorado Springs,CO 2nd Max 8-hr,0.39609102513713024,0.04191854136480784,False
Colorado Springs,NO2 98th Percentile 1-hr,-1.0,0.0,True
Colorado Springs,NO2 Mean 1-hr,-1.0,0.0,True
Colorado Springs,Ozone 2nd Max 1-hr,0.3006549078755483,0.09886566850131366,False
Colorado Springs,Ozone 4th Max 8-hr,0.1986632034954815,0.2005498015690232,False
Colorado Springs,SO2 99th Percentile 1-hr,0.3755656800379049,0.05135934866347928,False
Colorado Springs,SO2 2nd Max 24-hr,0.6597045934917146,0.0007761966359530865,True
Colorado Springs,SO2 Mean 1-hr,0.5016092577775415,0.012118152154455804,True
Colorado Springs,PM2.5 98th Percentile 24-hr,-0.16058845625704068,0.2494120373035037,False
Colorado Springs,PM2.5 Weighted Mean 24-hr,0.6593002750200262,0.0007832108204594085,True
Colorado Springs,PM10 2nd Max 24-hr,0.43781199665832027,0.026764333930150704,False
Colorado Springs,PM10 Mean 24-hr,0.45610305489695446,0.021626590948174377,True
Columbus,CO 2nd Max 1-hr,0.45745910185908273,0.021278456074022147,True
Columbus,CO 2nd Max 8-hr,0.5888805494042586,0.0031493649534964844,True
Columbus,NO2 98th Percentile 1-hr,0.19511471338988112,0.2048669317843888,False
Columbus,NO2 Mean 1-hr,0.8083323840437938,8.075996294654218e-06,True
Columbus,Ozone 2nd Max 1-hr,0.5480617965601213,0.006178366609599442,True
Columbus,Ozone 4th Max 8-hr,0.6447728683474802,0.0010730285755626064,True
Columbus,SO2 99th Percentile 1-hr,0.2774119279730205,0.11817482717558617,False
Columbus,SO2 2nd Max 24-hr,0.279324253453747,0.11650045206775675,False
Columbus,SO2 Mean 1-hr,0.4756489122461027,0.017014544617082406,True
Columbus,PM2.5 98th Percentile 24-hr,0.5140043527014598,0.010213352119656642,True
Columbus,PM2.5 Weighted Mean 24-hr,0.5309406966083517,0.008004301111640024,True
Columbus,PM10 2nd Max 24-hr,-0.13802260560999322,0.2808561573354632,False
Columbus,PM10 Mean 24-hr,0.07806198549717151,0.37178673277169394,False
Dallas,CO 2nd Max 1-hr,-0.16475879910597524,0.24379500616827465,False
Dallas,CO 2nd Max 8-hr,-0.17126237062778585,0.23516167059077142,False
Dallas,NO2 98th Percentile 1-hr,0.04096067119544555,0.4319318350177822,False
Dallas,NO2 Mean 1-hr,0.04019754680819476,0.43318898443107173,False
Dallas,Ozone 2nd Max 1-hr,-0.06092567503494826,0.3992995817031114,False
Dallas,Ozone 4th Max 8-hr,-0.06313023060821844,0.39573142428495095,False
Dallas,SO2 99th Percentile 1-hr,-0.1632066398765651,0.24587828629993674,False
Dallas,SO2 2nd Max 24-hr,-0.24099817418023559,0.1530199528665001,False
Dallas,SO2 Mean 1-hr,-0.2412420789887242,0.15276781810354578,False
Dallas,PM2.5 98th Percentile 24-hr,-0.10693386444800199,0.3268165572316122,False
Dallas,PM2.5 Weighted Mean 24-hr,0.0758111858601012,0.37536956422805984,False
Dallas,PM10 2nd Max 24-hr,-0.20207476973620933,0.1964467680691649,False
Dallas,PM10 Mean 24-hr,-0.1234922867418861,0.30198273378093565,False
Denver,CO 2nd Max 1-hr,0.3783185518914669,0.05001082197329602,False
Denver,CO 2nd Max 8-hr,0.29869417894373834,0.10040741073898544,False
Denver,NO2 98th Percentile 1-hr,0.13927138264829916,0.27907146099325986,False
Denver,NO2 Mean 1-hr,-0.17034472295298783,0.23637038886041395,False
Denver,Ozone 2nd Max 1-hr,0.23176037847576003,0.1627545233216937,False
Denver,Ozone 4th Max 8-hr,0.3052079416701726,0.0953468435553975,False
Denver,SO2 99th Percentile 1-hr,0.48038222328303976,0.016022796206735888,True
Denver,SO2 2nd Max 24-hr,0.32181967377445475,0.08322661957833256,False
Denver,SO2 Mean 1-hr,0.2736732738963619,0.12149297740776911,False
Denver,PM2.5 98th Percentile 24-hr,-0.07189272393888037,0.3816303329028964,False
Denver,PM2.5 Weighted Mean 24-hr,0.03176271996207747,0.4471228864336889,False
Denver,PM10 2nd Max 24-hr,-0.0890262223665868,0.354483404226466,False
Denver,PM10 Mean 24-hr,0.16716244132916447,0.24058615302084674,False
Detroit,CO 2nd Max 1-hr,0.38377255652733083,0.04741556447204424,False
Detroit,CO 2nd Max 8-hr,0.46418519672040864,0.019615189831658206,True
Detroit,NO2 98th Percentile 1-hr,0.47214430535153373,0.0177792177442592,True
Detroit,NO2 Mean 1-hr,0.4855303460569055,0.014996095291537719,True
Detroit,Ozone 2nd Max 1-hr,0.5917896370412197,0.002991735275437633,True
Detroit,Ozone 4th Max 8-hr,0.5840408024760375,0.003426680821608613,True
Detroit,SO2 99th Percentile 1-hr,0.5874527887102678,0.003229186346186999,True
Detroit,SO2 2nd Max 24-hr,0.5630711946558676,0.004869369052291376,True
Detroit,SO2 Mean 1-hr,0.49929984595440396,0.01250222120792865,True
Detroit,PM2.5 98th Percentile 24-hr,0.6531305728783857,0.0008970241151478249,True
Detroit,PM2.5 Weighted Mean 24-hr,0.5951187813210232,0.0028193598465152472,True
Detroit,PM10 2nd Max 24-hr,0.19947542111532512,0.19956872333058112,False
Detroit,PM10 Mean 24-hr,0.5870735894932466,0.003250662799775397,True
El Paso,CO 2nd Max 1-hr,0.0031478964582609173,0.4947455591807336,False
El Paso,CO 2nd Max 8-hr,0.019176068943033833,0.4680219940310373,False
El Paso,NO2 98th Percentile 1-hr,-0.19137281414294918,0.20947352372434697,False
El Paso,NO2 Mean 1-hr,0.11524392049647188,0.31425735930869747,False
El Paso,Ozone 2nd Max 1-hr,-0.12088450794655632,0.3058421662393813,False
El Paso,Ozone 4th Max 8-hr,-0.26542894332912753,0.12901951407442255,False
El Paso,SO2 99th Percentile 1-hr,0.15145114816184893,0.2619347936976343,False
El Paso,SO2 2nd Max 24-hr,0.19180070850717415,0.2089439495783879,False
El Paso,SO2 Mean 1-hr,0.07229890711376909,0.38098000363375945,False
