,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,12.1,12.8,9.3,7.5,14.9,8.7,4.3,5.7,5.9,7.0,6.8,4.0,3.1,4.0,5.7,3.2,2.8,3.2,3.8,4.0
CO 2nd Max 8-hr,5.2,5.4,4.1,3.7,4.5,4.1,2.5,3.1,2.8,3.1,2.2,2.4,1.8,2.0,2.5,2.4,2.0,2.1,1.7,2.9
NO2 98th Percentile 1-hr,78.0,78.0,106.0,87.0,,87.0,75.0,75.0,83.0,71.0,,71.0,64.0,72.0,68.0,77.0,72.0,77.0,70.0,70.0
NO2 Mean 1-hr,19.0,15.0,37.0,35.0,21.0,27.0,28.0,29.0,27.0,17.0,14.0,28.0,24.0,25.0,24.0,25.0,27.0,29.0,27.0,27.0
Ozone 2nd Max 1-hr,0.11,0.11,0.1,0.11,0.14,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.12,0.1,0.1,0.1
Ozone 4th Max 8-hr,0.081,0.083,0.082,0.088,0.095,0.078,0.084,0.09,0.09,0.08,0.079,0.079,0.083,0.086,0.085,0.077,0.081,0.083,0.076,0.083
SO2 99th Percentile 1-hr,81.0,56.0,75.0,78.0,58.0,46.0,43.0,31.0,33.0,28.0,33.0,37.0,34.0,39.0,38.0,18.0,16.0,20.0,16.0,8.0
SO2 2nd Max 24-hr,12.0,9.0,26.0,23.0,13.0,11.0,9.0,9.0,11.0,6.0,5.0,9.0,7.0,10.0,11.0,6.0,5.0,6.0,3.0,4.0
SO2 Mean 1-hr,3.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
PM2.5 98th Percentile 24-hr,,28.0,37.0,26.0,28.0,23.0,29.0,26.0,40.0,25.0,22.0,23.0,20.0,,29.0,30.0,26.0,26.0,24.0,37.0
PM2.5 Weighted Mean 24-hr,,11.6,11.8,10.2,10.6,9.9,10.3,9.9,10.7,9.5,8.1,8.6,7.6,,8.7,9.9,9.9,9.5,9.7,10.2
PM10 2nd Max 24-hr,141.0,134.0,98.0,126.0,103.0,98.0,97.0,111.0,111.0,107.0,93.0,68.0,92.0,103.0,97.0,97.0,61.0,89.0,116.0,146.0
PM10 Mean 24-hr,36.0,43.0,40.0,39.0,38.0,35.0,39.0,35.0,34.0,31.0,28.0,28.0,33.0,31.0,34.0,31.0,27.0,35.0,35.0,36.0
Lead Max 3-Mo Avg,,,,,,,,,,,,0.01,0.02,,0.02,0.0,,,,
Infant Mortality Rate,6.2,6.0,5.3,7.1,7.0,6.6,8.8,5.2,5.8,6.4,7.0,6.1,4.5,5.6,7.3,4.4,5.5,4.8,3.5,4.4
