,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,8.640000000000002,7.615555555555558,7.517777777777775,6.753333333333334,6.282222222222223,5.268888888888889,5.515555555555554,4.746666666666667,3.8622222222222224,3.852272727272728,3.804545454545455,3.5545454545454547,3.37906976744186,3.3571428571428577,3.5093023255813955,2.933333333333334,2.749999999999999,2.945238095238096,2.863636363636364,3.068181818181817
CO 2nd Max 8-hr,5.246666666666666,4.77111111111111,4.386666666666666,3.915555555555555,3.6488888888888886,3.275555555555556,3.0600000000000005,2.8911111111111114,2.5044444444444447,2.363636363636364,2.209090909090909,2.0681818181818183,2.0046511627906978,2.074418604651163,1.9534883720930225,1.8534883720930235,1.742857142857143,1.7659090909090909,1.7340909090909091,1.9090909090909087
NO2 98th Percentile 1-hr,78.4,76.175,69.91891891891892,67.0,65.06060606060606,61.86842105263158,61.583333333333336,60.5945945945946,60.142857142857146,58.38461538461539,52.05555555555556,54.28947368421053,53.23684210526316,54.294117647058826,50.36111111111112,51.23684210526316,50.31707317073171,48.97560975609756,49.0,49.75609756097561
NO2 Mean 1-hr,22.95,21.78048780487805,21.525,20.41025641025641,19.07692307692308,17.926829268292682,18.945945945945947,17.842105263157894,16.86842105263158,15.58974358974359,14.205128205128204,14.473684210526317,14.0,14.157894736842104,13.13157894736842,13.341463414634148,14.547619047619047,14.976190476190476,14.571428571428571,14.214285714285714
Ozone 2nd Max 1-hr,0.121590909090909,0.1139999999999999,0.115111111111111,0.1225,0.1172727272727272,0.1011363636363636,0.1135555555555555,0.1104444444444444,0.1044444444444444,0.1053333333333333,0.0975555555555555,0.1002222222222222,0.1013333333333333,0.1037777777777778,0.0906666666666666,0.09,0.0924444444444444,0.0946666666666666,0.0945454545454545,0.0949999999999999
Ozone 4th Max 8-hr,0.0933863636363636,0.0878222222222222,0.0880222222222222,0.0951363636363636,0.0899999999999999,0.0803636363636363,0.0855111111111111,0.0854222222222222,0.0822444444444444,0.0798666666666666,0.0751111111111111,0.0777111111111111,0.0796666666666666,0.0812666666666666,0.0723777777777777,0.0712666666666666,0.0729111111111111,0.0734444444444444,0.07475,0.0754090909090909
SO2 99th Percentile 1-hr,91.96969696969695,83.67647058823529,71.47222222222223,72.29729729729729,68.25714285714285,68.3157894736842,71.97297297297297,66.07894736842105,59.91666666666666,51.36842105263158,45.567567567567565,42.55263157894737,35.628571428571426,37.43243243243244,30.19047619047619,27.928571428571427,22.83333333333333,22.195121951219512,14.575,14.256410256410255
SO2 2nd Max 24-hr,27.666666666666668,27.852941176470587,22.194444444444443,21.72972972972973,22.65714285714286,21.36842105263158,23.405405405405407,19.894736842105264,17.61111111111111,15.421052631578949,15.567567567567568,13.289473684210526,10.571428571428571,11.54054054054054,8.976190476190476,8.285714285714286,7.523809523809524,8.0,5.317073170731708,4.230769230769231
SO2 Mean 1-hr,5.515151515151516,5.176470588235294,4.361111111111111,4.27027027027027,3.8857142857142857,3.9210526315789473,4.162162162162162,3.684210526315789,3.4324324324324325,2.973684210526316,2.5945945945945947,2.263157894736842,2.0285714285714285,1.8157894736842104,1.4761904761904765,1.238095238095238,1.1666666666666667,1.0,0.75,0.725
PM2.5 98th Percentile 24-hr,41.42307692307692,37.775,39.69047619047619,38.422222222222224,36.04761904761905,34.785714285714285,37.2093023255814,32.56818181818182,36.81818181818182,31.511627906976745,29.37209302325581,26.3953488372093,29.904761904761905,25.82926829268293,26.727272727272727,26.09302325581396,27.27272727272728,25.302325581395348,26.23809523809524,31.568181818181817
PM2.5 Weighted Mean 24-hr,15.376923076923076,14.464999999999998,14.5,13.624444444444444,13.530952380952376,13.05,13.681395348837208,12.777272727272724,12.990909090909089,11.995348837209304,10.920930232558137,10.774418604651164,11.10952380952381,10.490243902439024,10.45909090909091,10.165116279069768,9.727272727272728,9.162790697674415,9.795238095238094,10.120454545454546
PM10 2nd Max 24-hr,93.73170731707316,86.56818181818181,88.4888888888889,105.36363636363636,103.4186046511628,88.0,85.88888888888889,112.6279069767442,123.71111111111112,88.90697674418605,84.54545454545455,74.23255813953489,111.02272727272728,86.46511627906976,82.34883720930233,81.77777777777777,91.83720930232558,85.73809523809524,82.9,100.9
PM10 Mean 24-hr,35.34146341463415,34.13636363636363,32.71111111111111,31.795454545454547,32.395348837209305,30.288888888888888,32.644444444444446,36.04651162790697,33.888888888888886,31.27906976744186,27.295454545454547,27.069767441860463,28.59090909090909,27.44186046511628,25.348837209302324,25.75555555555556,24.511627906976745,25.73809523809524,25.55,25.15
Lead Max 3-Mo Avg,,,,,,,,,,,0.1375,0.1468749999999999,0.1925,0.0515384615384615,0.0318181818181818,0.028,0.0336666666666666,0.0268,0.0294444444444444,0.038
Infant Mortality,8.370454545454542,7.895454545454546,7.547727272727271,7.970454545454547,7.547727272727275,7.851162790697677,7.888636363636365,7.781818181818182,13.1,10.8,7.529111111111111,6.695555555555556,6.861363636363635,6.913333333333334,6.884444444444443,6.5,6.722222222222223,6.790909090909091,6.631111111111113,6.411363636363637
