,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,7.8,7.0,7.1,6.3,5.3,4.8,4.3,4.0,3.5,3.4,3.0,2.9,3.0,2.9,2.4,2.35,2.4,2.3,2.25,1.9
CO 2nd Max 8-hr,4.9,4.4,4.2,3.7,3.4,3.1,2.8,2.6,2.3,2.1,2.0,1.9,1.9,1.9,1.8,1.6,1.7,1.55,1.55,1.5
NO2 98th Percentile 1-hr,74.0,67.5,68.0,64.0,63.0,61.0,58.0,60.0,57.0,56.0,50.5,54.0,51.0,53.0,48.5,51.0,50.0,48.97560975609756,46.0,47.0
NO2 Mean 1-hr,22.0,21.0,21.0,19.0,18.0,17.0,17.0,16.0,16.0,15.0,13.0,13.0,13.0,13.5,12.5,12.0,14.0,14.488095238095235,14.0,13.0
Ozone 2nd Max 1-hr,0.12,0.11,0.11,0.12,0.1186363636363636,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09
Ozone 4th Max 8-hr,0.0931931818181818,0.086,0.086,0.0955681818181818,0.089,0.078,0.087,0.085,0.084,0.079,0.074,0.078,0.08,0.083,0.072,0.07,0.0729111111111111,0.072,0.0735,0.0735
SO2 99th Percentile 1-hr,81.0,82.83823529411765,71.23611111111111,70.0,60.0,55.5,69.0,59.5,50.5,37.0,31.0,27.0,22.0,19.0,15.0,14.5,11.5,8.0,7.0,8.0
SO2 2nd Max 24-hr,23.0,26.0,20.09722222222222,18.0,20.0,16.0,19.0,16.5,14.5,12.0,8.0,8.0,7.0,5.0,5.0,6.0,4.5,4.0,4.0,3.0
SO2 Mean 1-hr,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.4078947368421053,1.0,1.0,1.0,1.0,1.0,1.0
PM2.5 98th Percentile 24-hr,39.5,36.5,37.0,36.0,34.5,34.39285714285714,37.2093023255814,32.0,38.0,31.511627906976745,26.0,25.0,28.0,25.0,25.0,25.0,24.5,21.0,23.5,25.0
PM2.5 Weighted Mean 24-hr,15.15,13.5,13.85,13.6,13.165476190476188,12.9,13.5,12.538636363636362,12.35,11.9,10.7,10.774418604651164,11.104761904761904,10.0,10.529545454545456,10.0,9.663636363636364,8.7,9.7,9.85
PM10 2nd Max 24-hr,80.0,75.5,75.0,68.5,70.0,63.0,69.0,70.0,71.0,63.0,58.5,62.0,62.5,66.0,59.0,71.0,60.0,67.5,64.5,63.0
PM10 Mean 24-hr,32.0,32.5,32.0,27.0,30.0,27.0,29.0,27.0,27.0,26.0,24.0,24.0,25.0,25.0,23.0,23.0,22.0,22.5,22.0,22.5
Lead Max 3-Mo Avg,,,,,,,,,,,0.05,0.045,0.035,0.02,0.01,0.01,0.01,0.01,0.02,0.02
Infant Mortality,7.65,6.75,7.2,7.1,7.0,6.9,7.5,7.2,7.066666666666666,6.800000000000001,7.0,6.7,6.800000000000001,6.2,6.5,6.1,6.5,6.65,6.0,6.0
