,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,10.0,8.674999999999999,8.8,7.6,7.15,6.174999999999999,6.674999999999999,5.025,4.225,4.55,4.15,3.8,3.675,3.5,3.577325581395349,3.2,3.1,2.9,3.1500000000000004,3.35
CO 2nd Max 8-hr,5.749999999999999,5.65,4.7250000000000005,4.425000000000001,4.05,3.65,3.325,3.2,2.9,2.6,2.35,2.4,2.375,2.3,2.35,2.0,2.0,1.95,1.85,2.25
NO2 98th Percentile 1-hr,84.5,75.0,75.25,73.25,72.25,66.0,68.5,65.25,63.5,64.5,57.5,60.0,60.0,60.0,57.0,55.0,54.0,54.0,52.0,58.25
NO2 Mean 1-hr,25.0,24.0,23.5,22.0,21.0,20.5,22.0,20.0,18.0,17.0,16.0,17.0,16.0,17.0,15.0,16.0,18.0,17.0,16.0,16.0
Ozone 2nd Max 1-hr,0.14,0.1225,0.12,0.14,0.125,0.11,0.13,0.12,0.11,0.1125,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1
Ozone 4th Max 8-hr,0.103,0.09425,0.099,0.1065,0.096,0.084,0.09225,0.09225,0.09,0.085,0.077,0.08125,0.0854999999999999,0.087,0.07425,0.07425,0.077,0.07825,0.078,0.0775
SO2 99th Percentile 1-hr,129.0,106.0,97.0,94.25,87.25,106.0,94.75,85.0,79.0,62.0,61.0,49.0,40.5,42.75,38.0,27.928571428571427,23.0,18.25,17.0,15.564102564102564
SO2 2nd Max 24-hr,35.25,38.0,32.5,30.0,32.25,29.0,32.0,28.0,24.0,16.0,22.25,14.0,10.0,11.655405405405403,11.0,10.0,8.0,5.25,6.0,4.173076923076923
SO2 Mean 1-hr,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.25,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
PM2.5 98th Percentile 24-hr,46.0,43.0,45.0,46.25,43.0,42.0,42.0,38.0,42.0,34.75,33.0,32.0,32.0,29.0,29.5,28.0,29.5,23.0,27.0,29.0
PM2.5 Weighted Mean 24-hr,17.5,17.15,17.5,16.224999999999998,16.0,15.1,16.725,14.95,15.7,13.7,12.1,12.3,12.6,11.925,11.95,10.875,11.05,9.7,10.4,11.05
PM10 2nd Max 24-hr,112.75,110.5,107.5,111.0,101.25,97.25,87.41666666666666,108.75,112.0,102.25,84.27272727272728,74.17441860465117,88.0,92.11627906976744,82.26162790697674,91.5,94.2093023255814,90.0,112.0,106.5
PM10 Mean 24-hr,40.5,39.5,37.25,36.5,37.75,34.25,39.0,35.78488372093023,35.25,32.0,28.0,30.75,30.0,30.0,29.75,28.0,27.75,30.0,29.0,30.5
Lead Max 3-Mo Avg,,,,,,,,,,,0.10875,0.25,0.24125,0.0515384615384615,0.04,0.03,0.03,0.0325,0.03,0.06
Infant Mortality,9.975,9.9,8.975000000000001,9.825,9.85,9.35,9.425,9.475,8.866666666666667,8.883333333333335,8.8,7.6,8.225,8.0,8.3,7.9,7.9,8.5,7.8,7.674999999999999
