,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,10.0,8.5,8.6,6.4,11.2,5.4,4.8,5.4,3.1,3.4,4.2,5.7,4.0,3.2,3.1,3.1,2.7,5.2,2.3,4.8
CO 2nd Max 8-hr,6.6,4.8,4.8,4.4,3.3,3.3,3.4,2.9,2.4,2.1,2.1,2.2,2.8,2.5,1.9,2.5,1.9,2.5,1.6,2.7
NO2 98th Percentile 1-hr,100.0,106.0,100.0,97.0,84.0,81.0,83.0,86.0,79.0,77.0,72.0,71.0,71.0,67.0,62.0,70.0,68.0,60.0,67.0,68.0
NO2 Mean 1-hr,42.0,41.0,40.0,40.0,32.0,30.0,36.0,34.0,34.0,26.0,26.0,22.0,25.0,22.0,22.0,22.0,22.0,20.0,20.0,19.0
Ozone 2nd Max 1-hr,0.15,0.14,0.14,0.15,0.14,0.11,0.14,0.15,0.13,0.13,0.1,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.11
Ozone 4th Max 8-hr,0.11,0.114,0.108,0.125,0.102,0.088,0.101,0.101,0.094,0.087,0.081,0.087,0.089,0.085,0.078,0.074,0.079,0.078,0.079,0.079
SO2 99th Percentile 1-hr,79.0,86.0,71.0,67.0,74.0,69.0,72.0,70.0,62.0,62.0,61.0,50.0,41.0,32.0,22.0,15.0,15.0,7.0,7.0,8.0
SO2 2nd Max 24-hr,45.0,46.0,46.0,39.0,51.0,35.0,39.0,34.0,36.0,26.0,26.0,24.0,20.0,12.0,10.0,10.0,7.0,4.0,4.0,4.0
SO2 Mean 1-hr,13.0,13.0,12.0,12.0,11.0,10.0,11.0,10.0,10.0,7.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
PM2.5 98th Percentile 24-hr,39.0,44.0,42.0,48.0,47.0,45.0,43.0,42.0,39.0,34.0,33.0,28.0,33.0,26.0,31.0,31.0,29.0,21.0,23.0,27.0
PM2.5 Weighted Mean 24-hr,13.7,18.5,18.0,16.7,17.0,15.6,17.0,14.8,16.1,13.5,12.7,11.5,12.2,11.7,10.9,10.5,11.4,10.1,10.3,11.1
PM10 2nd Max 24-hr,73.0,108.0,71.0,60.0,75.0,54.0,66.0,,59.0,74.0,78.0,,63.0,73.0,43.0,47.0,44.0,45.0,32.0,38.0
PM10 Mean 24-hr,35.0,36.0,32.0,25.0,36.0,27.0,30.0,,33.0,29.0,28.0,,30.0,30.0,19.0,17.0,20.0,17.0,16.0,16.0
Lead Max 3-Mo Avg,,,,,,,,,,,0.08,0.04,1.03,0.06,0.11,0.02,0.03,0.03,0.01,0.0
Infant Mortality,6.7,6.4,5.6,5.9,6.2,6.1,5.6,5.7,,,5.0,4.6,4.5,4.6,4.2,4.0,4.1,3.8,4.2,3.5
