"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","20","7.9","59","19","."
"10300","Adrian, MI",".",".",".",".","0.1","0.089",".",".",".",".",".",".",".","."
"10420","Akron, OH","3.6","2.1",".",".","0.13","0.103","145","60","9","42","16.7","55","21","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","31","13.8",".",".","."
"10540","Albany, OR",".",".",".",".",".",".",".",".",".","30","8.2",".",".","."
"10580","Albany-Schenectady-Troy, NY","4.3","3.4",".",".","0.12","0.1","34","19","4","36","11.4",".",".","."
"10740","Albuquerque, NM","6","3.9","57","19","0.09","0.078",".",".",".","29","10.8","443","54","."
"10780","Alexandria, LA",".",".",".",".","0.08","0.073",".",".",".","25","10.6",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","4.4","2.3","54","14","0.11","0.097","64","28","8","46","14.7","90","20","."
"10980","Alpena, MI",".",".",".",".",".",".",".",".",".","27","9.1",".",".","."
"11020","Altoona, PA","1.5","0.8","52","13","0.1","0.089","51","32","7",".",".","67","21","."
"11140","Americus, GA",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.08","0.064",".",".",".","23","9.8",".",".","."
"11260","Anchorage, AK","10.8","5.9",".",".",".",".",".",".",".","35","6.9","104","31","."
"11460","Ann Arbor, MI",".",".",".",".","0.1","0.091",".",".",".","31","14.9",".",".","."
"11540","Appleton, WI",".",".",".",".","0.09","0.075",".",".",".","29","10.8",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.1","0.084",".",".",".","26","10.3",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.1","0.081",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.11","0.091",".",".",".","31","13.8","39","22","."
"11780","Ashtabula, OH",".",".",".",".","0.12","0.103","55","18","4",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","33","12.7","42","19","."
"11940","Athens, TN",".",".","45","13",".",".","174","32","9","29","14.2","62","33","."
"12020","Athens-Clarke County, GA",".",".",".",".",".",".",".",".",".","28","15",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","4.6","3.6","86","19","0.14","0.1","61","18","3","34","17.3","52","27","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.11","0.093","21","9","3","42","11.6","66","23","."
"12260","Augusta-Richmond County, GA-SC",".",".",".","4","0.11","0.094",".",".",".","30","14.4","38","18","."
